cluster	geneID	annotation	relation
8	BA3014	conserved.hypothetical.protein	1
8	BA3017	conserved.domain.protein	3
8	BA3111	aminoglycoside.phosphotransferase.family.protein	1
8	BA3569	"response.regulator,.putative,.authentic.point.mutation"	3
8	BA3873	"membrane.protein,.putative"	1
8	BA3881	conserved.hypothetical.protein	1
8	BA3961	u-999ecaprenyl.diphosphate.synthase	1
8	BA4003	sun.protein	1
8	BA4294	RNA.polymerase.sigma-F.factor	3
8	BA4626	"aminotransferase,.class.V"	4
8	BA4632	aspartyl-tRNA.synthetase	3
8	BA4807	HD.domain.protein	2
8	BA5201	"membrane.protein,.putative"	1
9	BA5557	uracil.phosphoribosyltransferase	1
9	BA5734	tRNA.modification.GTPase.TrmE	1
9	BA0048	UDP-N-acetylglucosamine.pyrophosphorylase	3
9	BA0219	conserved.hypothetical.protein	1
9	BA0301	SPFH.domain/ba-999.7.family.protein	2
9	BA0325	4-aminobutyrate.aminotransferase	1
9	BA0363	conserved.hypothetical.protein	1
9	BA0427	"prophage.LambdaBa04,.site-specific.recombinase,.phage.integrase.family"	2
9	BA0544	conserved.hypothetical.protein	1
9	BA0545	"iron-sulfur.cluster-bi-999ing.protein,.putative"	1
9	BA0546	conserved.hypothetical.protein	2
9	BA1050	EcsC.protein	1
9	BA1191	"oligopeptide.ABC.transporter,.oligopeptide-bi-999ing.protein"	1
9	BA1327	phaP.protein	1
9	BA1859	conserved.hypothetical.protein	1
9	BA2140	conserved.domain.protein	2
9	BA2190	FtsK/SpoIIIE.family.protein	1
9	BA2517	"iolB.protein,.putative"	3
9	BA3343	"hydrolase,.alpha/beta.fold.family"	1
9	BA3650	conserved.hypothetical.protein	3
9	BA3696	"blasticidin.S.deaminase,.putative"	1
9	BA3847	1-phosphofructokinase	3
9	BA3946	riboflavin.biosynthesis.protein.RibC	1
9	BA4366	"DNA-damage-i-999ucible.protein.P,.putative"	2
9	BA4624	TPR.domain.protein	3
9	BA4640	cation.efflux.family.protein	2
9	BA4827	glyceraldehyde.3-phosphate.dehydrogenase	1
9	BA4884	conserved.hypothetical.protein	3
9	BA5169	hesB/yadR/yfhF.family.protein	1
9	BA5385	mutT/nudix.family.protein	1
10	pXO1-31	plasmid	1
10	BA0181	"drug.resistance.transporter,.Bcr/CflA.family"	1
10	BA0375	DNA.topoisomerase.III	3
10	BA0416	"transporter,.EamA.family"	1
10	BA0529	"lipoprotein,.putative"	1
10	BA0747	xanthine/uracil.permease.family.protein	1
10	BA0790	"transcription.antiterminator,.BglG.family"	1
10	BA1197	"oligopeptide.ABC.transporter,.oligopeptide-bi-999ing.protein"	1
10	BA1252	N-(5'phosphoribosyl)anthranilate.isomerase	1
10	BA1313	sensor.histidine.kinase	1
10	BA1627	conserved.hypothetical.protein	1
10	BA1813	"conserved.hypothetical.protein,.authentic.frameshift"	2
10	BA2380	"alkaline.serine.protease,.subtilase.family"	1
10	BA2568	"neutral.protease,.authentic.frameshift"	1
10	BA2958	chorismate.mutase/phospho-2-dehydro-3-deoxyheptonate.aldolase	1
10	BA2964	"acetyltransferase,.GNAT.family"	1
10	BA3016	conserved.hypothetical.protein	1
10	BA3440	"oxidoreductase,.short.chain.dehydrogenase/reductase.family"	1
10	BA3555	conserved.hypothetical.protein	1
10	BA3559	conserved.domain.protein	1
10	BA3748	"phosphonate.ABC.transporter,.permease.protein"	1
10	BA4008	"DNA-directed.RNA.polymerase,.omega.subunit"	3
10	BA4203	EAL-domain.protein	1
10	BA5203	"phosphoglycerate.mutase.family.protein,.putative"	1
11	BA5447	"PTS.system,.cellobiose-specific.IIA.component"	3
11	BA5649	"ABC.transporter,.permease.protein"	2
11	BA5711	metallo-beta-lactamase.family.protein	1
11	BA5726	mechanosensitive.ion.channel.family.protein	1
11	BA0051	conserved.hypothetical.protein	4
11	BA0066	"chaperonin,.33.kDa"	1
11	BA0069	"para-aminobenzoate.synthase.glutamine.amidotransferase,.component.II"	1
11	BA0840	major.facilitator.family.transporter	3
11	BA1340	phosphonoacetaldehyde.phosphonohydrolase	3
11	BA1403	bacitracin.resistance.protein	1
11	BA1550	conserved.hypothetical.protein	3
11	BA1898	"membrane.protein,.putative"	3
11	BA2033	conserved.hypothetical.protein	1
11	BA2106	conserved.hypothetical.protein	3
11	BA2420	"acetyltransferase,.GNAT.family"	3
11	BA2442	conserved.hypothetical.protein	3
11	BA2634	"hydrolase,.haloacid.dehalogenase-like.family"	3
11	BA2805	"glycosyl.hydrolase,.family.25,.putative"	3
11	BA2866	"MTA/SAH.nucleosidase./.phosphatase,.putative"	1
11	BA2931	"lipoprotein,.putative"	4
11	BA2933	"lipoprotein,.putative"	3
11	BA3043	conserved.hypothetical.protein	1
11	BA3118	metallo-beta-lactamase.family.protein	3
11	BA3362	"membrane.protein,.putative"	3
11	BA3574	bile.acid.transporter.family.protein	3
11	BA3659	CoA.bi-999ing.domain.family.protein	4
11	BA3729	"als.operon.regulatory.protein.AlsR,.putative"	2
11	BA4028	aspartate.carbamoyltransferase	1
11	BA4284	conserved.hypothetical.protein	1
11	BA4368	peptidase.T	2
11	BA4374	"amino.acid.ABC.transporter,.ATP-bi-999ing.protein"	1
11	BA4375	"amino.acid.ABC.transporter,.permease.protein"	1
11	BA4678	stage.IV.sporulation.protein.FB	1
11	BA4684	rod.shape-determining.protein.MreB	1
11	BA5061	conserved.hypothetical.protein	1
11	BA5100	conserved.hypothetical.protein	1
11	BA5268	cytolysin.immunity.CylI.domain.protein	1
11	BA5330	"iron.compou-999.ABC.transporter,.iron.compou-999-bi-999ing.protein"	1
12	BA0159	glucosamine--fructose-6-phosphate.aminotransferase.(isomerizing)	1
12	BA0572	sensor.histidine.kinase	1
12	BA0796	conserved.hypothetical.protein	1
12	BA0932	conserved.hypothetical.protein	3
12	BA1175	conserved.hypothetical.protein	1
12	BA1510	"negative.regulator.of.competence.MecA,.putative"	1
12	BA1946	transport.ATP-bi-999ing.protein.CydD	3
12	BA2607	"lipase,.putative"	1
12	BA2974	malate:quinone-oxidoreductase	1
12	BA4605	conserved.hypothetical.protein	3
12	BA5222	"ABC.transporter,.ATP-bi-999ing.protein"	1
13	BA5481	conserved.domain.protein	1
13	BA5617	"agmatinase,.putative"	1
13	BA5705	guanosine.monophosphate.reductase	1
13	BA0141	cobalt.transport.protein	1
13	BA0494	DNA-bi-999ing.protein	2
13	BA0602	"lipoprotein,.putative"	2
13	BA0606	"nucleoside.transporter,.NupC.family"	1
13	BA0710	spore.germination.protein.GerLB	1
13	BA0767	stage.V.sporulation.protein.R	1
13	BA0810	dedA.family.protein	1
13	BA1318	late.competence.protein.comC	1
13	BA1526	glycerol-3-phosphate.dehydrogenase.(NAD(P)+)	1
13	BA2105	conserved.hypothetical.protein	1
13	BA2468	"acetyltransferase,.GNAT.family"	1
13	BA2680	"oxalate:formate.antiporter,.putative"	1
13	BA3119	"membrane.protein,.putative"	1
13	BA3124	"membrane.protein,.putative"	2
13	BA3604	argininosuccinate.lyase	1
13	BA4144	phosphoglycerate.mutase.family.protein	1
13	BA4507	conserved.hypothetical.protein	1
13	BA4522	recombination.protein.O	1
14	BA5716	adenylosuccinate.synthetase	1
14	BA0075	"TIM-barrel.protein,.putative,.NifR3.family"	2
14	BA0162	"gluconate.kinase,.authentic.point.mutation"	1
14	BA0290	adenylosuccinate.lyase	1
14	BA0294	phosphoribosylformylglycinamidine.synthase.II	1
14	BA0297	phosphoribosylglycinamide.formyltransferase	1
14	BA0340	transcriptional.regulator.domain.protein	1
14	BA0555	"microbial.collagenase,putative"	1
14	BA0692	conserved.hypothetical.protein	2
14	BA0739	"potassium-transporting.ATPase,.A.subunit"	1
14	BA1530	stage.IV.sporulation.protein.A	2
14	BA1565	"DnaQ.family.exonuclease/DinG.family.helicase,.putative"	2
14	BA1595	conserved.hypothetical.protein	2
14	BA1994	conserved.domain.protein	4
14	BA2135	molybdopterin.biosynthesis.protein.MoeA	1
14	BA2267	"alcohol.dehydrogenase,.zinc-containing"	1
14	BA2406	"transcriptional.regulator,.TetR.family"	2
14	BA2851	"conserved.hypothetical.protein,.authentic.point.mutation"	4
14	BA3040	nitroreductase.family.protein	4
14	BA3710	imidazolonepropionase	2
14	BA3936	"aspartate.kinase,.monofunctional.class"	4
14	BA3994	"phosphatase,.putative"	1
14	BA4489	5-formyltetrahydrofolate.cyclo-ligase.family.protein	1
14	BA4536	conserved.hypothetical.protein.TIGR00046	2
14	BA4616	alanyl-tRNA.synthetase	2
14	BA4804	"phenylalanyl-tRNA.synthetase,.alpha.subunit"	2
14	BA4911	tyrosyl-tRNA.synthetase	2
14	BA5095	gluconate.permease	1
14	BA5164	conserved.domain.protein	4
14	BA5238	PAP2.family.protein	3
14	BA5392	HPr(Ser).kinase/phosphatase	2
15	BA0662	"transcriptional.regulator,.MarR.family"	2
15	BA1248	anthranilate.synthase.component.I	2
15	BA1251	i-999ole-3-glycerol.phosphate.synthase	2
15	BA1511	glutamate.dehydrogenase	2
15	BA2385	conserved.hypothetical.protein	2
15	BA2967	conserved.domain.protein	1
15	BA2975	"sugar.ABC.transporter,.sugar-bi-999ing.protein,.putative"	2
15	BA3296	MATE.efflux.family.protein	2
15	BA3708	"transcriptional.regulator,.CarD.family"	1
15	BA3935	dihydrodipicolinate.synthase	1
15	BA4021	orotate.phosphoribosyltransferase	1
15	BA4023	dihydroorotate.dehydrogenase	1
15	BA4285	"HAD-superfamily.hydrolase,.subfamily.IIB"	1
15	BA4331	riboflavin.biosynthesis.protein.RibD	1
15	BA4332	"riboflavin.synthase,.alpha.subunit"	1
15	BA4333	"3,4-dihydroxy-2-butanone.4-phosphate.synthase/GTP.cyclohydrolase.II"	1
15	BA4334	"riboflavin.synthase,.beta.subunit"	1
15	BA4351	ornithine.carbamoyltransferase	1
15	BA4352	acetylornithine.aminotransferase	1
15	BA4376	"amino.acid.ABC.transporter,.amino.acid-bi-999ing.protein"	1
15	BA4382	dihydrolipoamide.acetyltransferase	2
16	BA5510	"techoic.acid.ABC.transporter,.ATP-bi-999ing.protein"	1
16	BA5545	conserved.hypothetical.protein	1
16	BA5712	yycI.protein	1
16	BA0160	conserved.hypothetical.protein	3
16	BA0700	"quinol.oxidase,.subunit.IV"	1
16	BA0701	"quinol.oxidase,.subunit.III"	1
16	BA0740	"potassium-transporting.ATPase,.B.subunit"	2
16	BA0797	"ABC.transporter,.permease.protein"	1
16	BA0878	sulfate.permease.family.protein	1
16	BA1058	"conserved.domain.protein,.authentic.frameshift"	1
16	BA1315	conserved.hypothetical.protein	1
16	BA1388	dltB.protein	1
16	BA1436	sulfatase	3
16	BA1529	conserved.hypothetical.protein	1
16	BA1532	GTP.cyclohydrolase.I	1
16	BA1847	"oxidoreductase,.short-chain.dehydrogenase/reductase.family"	3
16	BA1997	mutT/nudix.family.protein	1
16	BA2222	"alcohol.dehydrogenase,.iron-containing"	1
16	BA2522	conserved.hypothetical.protein	3
16	BA2628	"permease,.putative"	3
16	BA2667	"acetyltransferase,.GNAT.family"	3
16	BA2951	"transcriptional.regulator,.TetR.family"	1
16	BA2955	histidinol-phosphate.aminotransferase	1
16	BA2956	chorismate.synthase	1
16	BA2999	conserved.hypothetical.protein	1
16	BA3081	conserved.hypothetical.protein	1
16	BA3214	"penicillin-bi-999ing.protein,.putative"	3
16	BA3385	"oxidoreductase,.short-chain.dehydrogenase/reductase.family"	4
16	BA3432	transketolase	1
16	BA3544	quinone.oxidoreductase	3
16	BA3634	spore.germination.protein	1
16	BA3668	"glycosyl.hydrolase,.family.18"	3
16	BA3848	"transcriptional.regulator,.DeoR.family"	3
16	BA4030	pyrimidine.operon.regulatory.protein	1
16	BA4088	conserved.hypothetical.protein	1
16	BA4862	"lipoprotein,.putative"	1
16	BA4953	"pullulanase,.putative"	3
16	BA5389	bacterial.transferase.hexapeptide.domain.protein	1
17	BA5406	"transcriptional.regulator,.LysR.family"	1
17	BA5483	conserved.hypothetical.protein	1
17	BA5503	sensor.histidine.kinase	1
17	BA5738	ribosomal.protein.L34	1
17	BA0179	conserved.hypothetical.protein	1
17	BA0200	"transporter,.putative"	1
17	BA0265	CAAX.amino.terminal.protease.family.protein	1
17	BA0298	phosphoribosylaminoimidazolecarboxamide.formyltransferase/IMP.cyclohydrolase	1
17	BA0344	"alkyl.hydroperoxide.reductase,.F.subunit"	3
17	BA0345	"alkyl.hydroperoxide.reductase,.subunit.C"	3
17	BA0505	"glycosyl.transferase,.group.2.family.protein"	1
17	BA0567	"glycerol-3-phosphate.ABC.transporter,.permease.protein,.putative"	1
17	BA0636	CAAX.amino.terminal.protease.family.protein	1
17	BA0678	sphingomyelinase.C	1
17	BA0719	"transporter,.AcrB/AcrD/AcrF.family"	1
17	BA0787	major.facilitator.family.transporter	2
17	BA0795	conserved.hypothetical.protein	1
17	BA0824	conserved.hypothetical.protein	1
17	BA0845	amino.acid.permease.family.protein	1
17	BA1068	conserved.hypothetical.protein	1
17	BA1605	"cation.transporter,.putative"	1
17	BA1642	"MATE.efflux.family.protein,.putative"	1
17	BA1651	conserved.domain.protein	1
17	BA1726	conserved.hypothetical.protein	1
17	BA1777	conserved.domain.protein	1
17	BA2046	spore.coat.protein.H	1
17	BA2769	rrf2.family.protein	1
17	BA3038	"ATPase,.AAA.family"	1
17	BA3131	"alcohol.dehydrogenase,.zinc-containing"	1
17	BA3256	"ABC.transporter,.permease.protein,.putative"	1
17	BA3332	"S-layer.protein,.putative"	1
17	BA3348	"membrane.protein,.putative"	1
17	BA3444	conserved.hypothetical.protein	1
17	BA3755	conserved.hypothetical.protein	1
17	BA4192	"cytochrome.d.ubiquinol.oxidase,.subunit.II-related.protein"	1
17	BA4213	conserved.domain.protein	1
17	BA4272	"transcriptional.regulator,.GntR.family"	1
17	BA4373	conserved.hypothetical.protein	1
17	BA4639	single-stra-999ed-DNA-specific.exonuclease.RecJ	1
17	BA4783	conserved.hypothetical.protein	1
17	BA4785	"iron.compou-999.ABC.transporter,.permease.protein"	1
17	BA4940	FtsK/SpoIIIE.family.protein	1
17	BA4950	"methyltransferase,.putative"	1
17	BA5109	naphthoate.synthase	1
17	BA5113	"1,4-dihydroxy-2-naphthoate.octaprenyltransferase,.putative"	1
17	BA5386	conserved.hypothetical.protein	1
18	BA5508	(3R)-hydroxymyristoyl-(acyl-carrier-protein).dehydratase	1
18	BA0084	4-diphosphocytidyl-2C-methyl-D-erythritol.synthase	2
18	BA0202	"molybdenum.ABC.transporter,.permease.protein"	1
18	BA0571	DNA-bi-999ing.response.regulator	1
18	BA1118	sensor.histidine.kinase	2
18	BA1214	"ribosomal.large.subunit.pseudouridine.synthase,.RluD.subfamily"	2
18	BA1792	"sensor.histidine.kinase,.putative"	3
18	BA1800	aspartate.ammonia-lyase	2
18	BA2119	glutathione.peroxidase	1
18	BA2183	"neutral.metalloprotease,.putative"	2
18	BA2219	"membrane.protein,.putative"	1
18	BA2221	"membrane.protein,.putative"	1
18	BA2309	PAP2.family.protein	1
18	BA2418	protoporphyrinogen.oxidase	1
18	BA3049	"transcriptional.regulator,.GntR.family"	1
18	BA3239	conserved.domain.protein	3
18	BA3506	"penicillin-bi-999ing.protein,.putative"	3
18	BA3676	"ABC.transporter,.ATP-bi-999ing/permease.protein"	2
18	BA4012	"cation-transporting.ATPase,.E1-E2.family"	1
18	BA4130	"prophage.LambdaBa02,.repressor.protein"	1
18	BA4239	conserved.hypothetical.protein	1
18	BA4330	conserved.hypothetical.protein	2
18	BA4637	GTP.pyrophosphokinase	1
18	BA4697	hemX.protein	1
18	BA4736	DNA-bi-999ing.response.regulator	2
18	BA4821	conserved.hypothetical.protein	1
18	BA4876	"membrane.protein,.putative"	1
18	BA5172	conserved.hypothetical.protein	2
18	BA5290	general.stress.protein.20U	1
19	BA5434	UDP-glucose.6-dehydrogenase	2
19	BA5698	"transporter,.putative"	4
19	BA0046	"e-999oribonuclease.L-PSP,.putative"	2
19	BA0404	"tellurite.resistance.protein,.putative"	1
19	BA1392	N-acyl-L-amino.acid.amidohydrolase	3
19	BA1410	conserved.hypothetical.protein	2
19	BA1447	"siroheme.synthase,.putative"	1
19	BA1626	conserved.domain.protein	3
19	BA1731	"permease,.putative"	4
19	BA1780	prolipoprotein.diacylglyceryl.transferase.family.protein	1
